Date/Signal;Exported Energy 1H (kWh);Number of Available WTGs;Wind Speed 1H (m/s);Wind Direction 1H (º);Ambient Temperature 1H (m/s);Humedad Relativa (%);Presión Atmosférica (mbar)
01/07/2022 00:00;31928,748;14,333;9,429;;10,072;;897,418
01/07/2022 01:00;43077,443;14;12,74;;9,387;;896,906
01/07/2022 02:00;43542,037;14;14,063;;8,344;;896,849
01/07/2022 03:00;42611,472;12,833;21,171;;7,981;;896,962
01/07/2022 04:00;27798,142;5,333;23,61;;7,766;;898,277
01/07/2022 05:00;27731,397;6,667;23,281;;7,286;;899,322
01/07/2022 06:00;27374,405;8;22,399;;6,921;;900,129
01/07/2022 07:00;43816,433;13,667;21,715;;5,75;;900,811
01/07/2022 08:00;46700,812;15;16,638;;5,66;;901,019
01/07/2022 09:00;47361,179;15;13,37;;6,807;;901,352
01/07/2022 10:00;47033,147;14,833;12,555;;8,754;;901,915
01/07/2022 11:00;47515,243;15;13,319;;10,372;;902,26
01/07/2022 12:00;47389,613;15;12,292;;11,749;;902,675
01/07/2022 13:00;45148,716;15;9,765;;13,004;;903,405
01/07/2022 14:00;12866,847;14,5;5,897;;14,278;;904,439
01/07/2022 15:00;6732,367;14;5,264;;14,234;;906,074
01/07/2022 16:00;5385,765;14,167;5,213;;13,961;;906,709
01/07/2022 17:00;7397,967;15;5,548;;13,305;;907,612
01/07/2022 18:00;7323,378;15;5,643;;12,222;;908,168
01/07/2022 19:00;32738,83;15;9,932;;11,844;;908,91
01/07/2022 20:00;37051,224;15;9,501;;10,747;;909,315
01/07/2022 21:00;28878,577;15;7,629;;10,726;;909,433
01/07/2022 22:00;23671,12;14,667;7,599;;10,029;;909,717
01/07/2022 23:00;17701,137;15;7,483;;9,668;;909,628
02/07/2022 00:00;37776,396;15;9,151;;9,687;1;241,676
02/07/2022 01:00;29568,449;15;7,964;;9,458;1;237,421
02/07/2022 02:00;10204,14;15;5,819;;9,256;1;244,211
02/07/2022 03:00;9784,33;15;5,984;;8,741;1;230,774
02/07/2022 04:00;11766,122;15;6,028;;7,938;1;234,858
02/07/2022 05:00;11891,867;15;5,985;;7,108;1;207,177
02/07/2022 06:00;9831,802;15;5,765;;6,509;1;177,949
02/07/2022 07:00;4289,969;15;4,808;;6,071;1;193,549
02/07/2022 08:00;5601,532;15;5,084;;5,858;1;207,858
02/07/2022 09:00;7327,136;15;5,296;;6,315;1;178,577
02/07/2022 10:00;5584,579;15;5,21;;7,432;1;193,406
02/07/2022 11:00;7666,033;15;5,515;;8,151;1;194,408
02/07/2022 12:00;5511,246;15;5,077;;8,571;1;174,416
02/07/2022 13:00;5903,596;15;5,347;;8,986;1;169,613
02/07/2022 14:00;10624,229;15;6,231;;9,62;1;147,255
02/07/2022 15:00;16672,05;15;6,952;;10,362;1;157,388
02/07/2022 16:00;20752,911;15;7,515;;10,128;1;129,232
02/07/2022 17:00;24983,405;15;7,707;;10,047;1;103,05
02/07/2022 18:00;26020,164;15;7,79;;9,131;1;110,396
02/07/2022 19:00;36497,98;15;10,234;;8,427;1;96,122
02/07/2022 20:00;46674,56;15;11,014;;8,054;1;103,397
02/07/2022 21:00;44770,49;14,833;9,97;;8,461;1;87,556
02/07/2022 22:00;20119,304;14,833;6,893;;9,624;1;84,407
02/07/2022 23:00;23815,597;14;8,519;;9,481;1;69,218
03/07/2022 00:00;41843,531;13,833;10,697;;9,19;1;910,765
03/07/2022 01:00;41998,951;14;10,023;;8,902;1;910,815
03/07/2022 02:00;34622,8;13,333;9,407;;9,429;1;911,173
03/07/2022 03:00;39477,016;12,833;10,166;;9,996;1;911,692
03/07/2022 04:00;40830,672;13,667;9,806;;9,945;1;912,793
03/07/2022 05:00;37468,008;13,667;9,13;;10,073;1;913,809
03/07/2022 06:00;27855,018;13,833;7,66;;9,636;1;914,153
03/07/2022 07:00;15993,856;14,167;6,187;;9,563;1;913,783
03/07/2022 08:00;6839,181;14,667;5,703;;9,902;1;912,931
03/07/2022 09:00;10049,759;14;5,916;;11,116;1;912,473
03/07/2022 10:00;9073,405;14,5;5,91;;12,239;1;911,829
03/07/2022 11:00;10860,579;14,833;5,883;;13,543;1;911,481
03/07/2022 12:00;9765,567;15;6,001;;13,902;1;911,559
03/07/2022 13:00;12434,695;15;6,396;;14,068;1;911,227
03/07/2022 14:00;11544,198;15;6,018;;14,478;1;910,835
