FechaHora;EnergiaSMEC;AerosDisp;VelViento;VelVientoWTGS;TempAmb;DirViento;PresionAtm;wspd_ms_actual;wdir;temp;pres;rhum;wspd_rlm;wspd_lstm;ENERGIA_PRON_CAMMESA
28/04/2024 09:00;74,62;29,67;8,71;9,89;19,06;315,15;1001,81;7,7;308;9,2;1010,3;59;11,01;9,57;100,8
28/04/2024 10:00;74,53;29,67;8,71;9,89;19,06;315,15;1001,81;7,7;301;11,1;1010,1;53;10,71;9,43;99,418
28/04/2024 11:00;74,13;29,73;8,56;9,43;19,44;309,26;1001,2;8,2;294;13;1009,8;48;10,77;9,3;97,258
28/04/2024 12:00;70,09;29,41;7,85;9,17;19,04;300,21;1000,22;8,2;287;14,5;1009,4;43;10,46;9,1;94,174
28/04/2024 13:00;67,72;29,81;7,51;8,86;18,09;296,64;996,66;8,2;288;16,2;1008,6;38;10,34;8,92;92,113
28/04/2024 14:00;73,85;29,73;8,56;9,43;19,44;309,26;1001,2;7,7;284;16,9;1007,9;37;9,81;8,69;89,47
28/04/2024 15:00;73,52;29,89;8,4;9,43;19,75;314,63;999,03;7,2;285;17,8;1007,4;34;9,36;8,39;86,335
28/04/2024 16:00;74,89;29,67;8,5;9,43;17,98;318,27;1001,02;6,7;290;17,7;1007,2;35;9,1;8,15;84,542
28/04/2024 17:00;72,91;29,47;8,6;9,55;19;319,04;1002,49;6,2;296;17,2;1007;37;8,9;8,03;83,908
28/04/2024 18:00;75,89;29,5;8,61;9,66;18,66;302,41;1000,67;4,6;308;16;1007;42;7,93;7,62;84,155
28/04/2024 19:00;76,94;29,22;8,8;9,8;18,51;296,14;999,53;4,6;320;14,3;1007;48;8,39;7,51;84,876
28/04/2024 20:00;80,63;29,83;8,57;10,47;19,16;296,02;992,87;4,6;330;12,5;1007,2;55;8,8;7,95;86,267
28/04/2024 21:00;75,62;29,22;8,82;9,68;18,78;305,34;1001,8;4,6;335;11,8;1007,5;60;8,98;8,36;88,289
28/04/2024 22:00;72,43;28,98;8,97;9,52;17,81;312,53;1002,36;5,1;339;11,4;1007,9;63;9,61;8,71;91,147
28/04/2024 23:00;76,84;29,22;8,8;9,8;18,51;296,14;999,53;5,7;338;11,3;1007,7;64;10,17;9,21;92,902
29/04/2024 00:00;74,63;29,67;8,71;9,89;19,06;315,15;1001,81;6,2;339;11,3;1008;64;10,67;9,57;93,776
29/04/2024 01:00;77,03;29,22;8,8;9,8;18,51;296,14;999,53;6,2;340;11,5;1007,5;64;10,72;9,78;93,943
