FechaHora;ws100_ecmwf;dir100_ecmwf;temp_ecmwf;airden_ecmwf;reltct_ecmwf
2024-06-02 00:00:00;2,44;322,811;6,541;1,242;3,696
2024-06-02 01:00:00;3,847;308,848;6,803;1,241;11,632
2024-06-02 02:00:00;5,255;294,884;7,065;1,24;19,568
2024-06-02 03:00:00;6,662;280,921;7,327;1,239;27,504
2024-06-02 04:00:00;6,92;277,907;7,332;1,24;29,768
2024-06-02 05:00:00;7,178;274,894;7,338;1,24;32,032
2024-06-02 06:00:00;7,436;271,881;7,343;1,241;34,296
2024-06-02 07:00:00;7,826;264,021;6,468;1,246;38,373
2024-06-02 08:00:00;8,216;256,161;5,593;1,251;42,45
2024-06-02 09:00:00;8,607;248,301;4,717;1,256;46,527
2024-06-02 10:00:00;8,726;240,54;6,081;1,251;47,644
2024-06-02 11:00:00;8,846;232,78;7,444;1,246;48,761
2024-06-02 12:00:00;8,965;225,02;8,807;1,241;49,878
2024-06-02 13:00:00;9,463;220,462;9,242;1,24;55,792
2024-06-02 14:00:00;9,961;215,905;9,676;1,238;61,706
2024-06-02 15:00:00;10,458;211,347;10,111;1,236;67,62
2024-06-02 16:00:00;9,972;211,612;9,801;1,239;61,855
2024-06-02 17:00:00;9,486;211,876;9,491;1,241;56,09
2024-06-02 18:00:00;8,999;212,141;9,181;1,243;50,325
2024-06-02 19:00:00;9,001;209,064;8,216;1,248;50,568
2024-06-02 20:00:00;9,002;205,987;7,252;1,254;50,811
2024-06-02 21:00:00;9,004;202,91;6,287;1,26;51,054
2024-06-02 22:00:00;8,394;199,932;5,572;1,263;44,941
2024-06-02 23:00:00;7,785;196,953;4,856;1,267;38,828
2024-06-03 00:00:00;7,176;193,975;4,141;1,271;32,715
2024-06-03 01:00:00;6,458;199,399;3,559;1,274;27,195
2024-06-03 02:00:00;5,741;204,822;2,978;1,277;21,674
2024-06-03 03:00:00;5,024;210,246;2,396;1,28;16,153
2024-06-03 04:00:00;4,992;222,74;2,08;1,282;15,97
2024-06-03 05:00:00;4,96;235,234;1,764;1,283;15,787
2024-06-03 06:00:00;4,929;247,728;1,448;1,285;15,603
2024-06-03 07:00:00;4,253;256,005;1,294;1,286;12,211
2024-06-03 08:00:00;3,578;264,282;1,14;1,287;8,818
2024-06-03 09:00:00;2,903;272,559;0,987;1,288;5,426
2024-06-03 10:00:00;2,676;189,34;3,223;1,277;4,65
2024-06-03 11:00:00;2,449;106,122;5,459;1,267;3,875
2024-06-03 12:00:00;2,221;22,903;7,696;1,256;3,099
2024-06-03 13:00:00;3,549;18,711;8,75;1,25;10,004
2024-06-03 14:00:00;4,876;14,518;9,804;1,244;16,908
2024-06-03 15:00:00;6,203;10,325;10,859;1,238;23,813
2024-06-03 16:00:00;6,914;13,222;10,299;1,239;30,272
2024-06-03 17:00:00;7,626;16,12;9,739;1,241;36,73
2024-06-03 18:00:00;8,337;19,017;9,179;1,243;43,189
2024-06-03 19:00:00;8,974;14,914;8,733;1,245;50,636
2024-06-03 20:00:00;9,61;10,812;8,287;1,246;58,083
2024-06-03 21:00:00;10,247;6,71;7,841;1,248;65,53
2024-06-03 22:00:00;11,094;6,46;7,879;1,247;77,634
2024-06-03 23:00:00;11,941;6,21;7,917;1,246;89,737
2024-06-04 00:00:00;12,789;5,96;7,954;1,245;101,841
2024-06-04 01:00:00;13,496;4,385;7,753;1,245;114,059
2024-06-04 02:00:00;14,204;2,81;7,551;1,246;126,277
2024-06-04 03:00:00;14,912;1,235;7,349;1,246;138,495
2024-06-04 04:00:00;14,535;119,369;7,199;1,246;131,78
2024-06-04 05:00:00;14,158;237,503;7,048;1,246;125,064
2024-06-04 06:00:00;13,781;355,637;6,898;1,246;118,348
2024-06-04 07:00:00;14,261;355,368;6,77;1,247;127,112
2024-06-04 08:00:00;14,741;355,099;6,642;1,248;135,876
2024-06-04 09:00:00;15,22;354,83;6,514;1,249;144,641
2024-06-04 10:00:00;14,716;353,478;7,827;1,243;134,956
2024-06-04 11:00:00;14,211;352,126;9,14;1,237;125,271
2024-06-04 12:00:00;13,706;350,774;10,453;1,231;115,586
2024-06-04 13:00:00;12,551;348,932;10,838;1,228;98,436
2024-06-04 14:00:00;11,396;347,09;11,223;1,225;81,286
2024-06-04 15:00:00;10,242;345,248;11,607;1,223;64,135
2024-06-04 16:00:00;9,745;347,004;11,06;1,225;58,465
2024-06-04 17:00:00;9,249;348,759;10,512;1,228;52,794
2024-06-04 18:00:00;8,753;350,515;9,964;1,23;47,123
2024-06-04 19:00:00;9,542;349,996;9,604;1,232;56,877
2024-06-04 20:00:00;10,332;349,478;9,245;1,234;66,632
2024-06-04 21:00:00;11,121;348,96;8,886;1,235;76,386
2024-06-04 22:00:00;11,082;351,609;8,804;1,236;75,876
2024-06-04 23:00:00;11,043;354,258;8,722;1,236;75,367
2024-06-05 00:00:00;11,005;356,907;8,641;1,236;74,857
2024-06-05 01:00:00;10,581;355,431;8,649;1,236;69,411
2024-06-05 02:00:00;10,157;353,955;8,658;1,236;63,965
2024-06-05 03:00:00;9,734;352,479;8,667;1,235;58,519
2024-06-05 04:00:00;9,711;351,833;8,263;1,237;58,306
2024-06-05 05:00:00;9,688;351,188;7,86;1,238;58,092
2024-06-05 06:00:00;9,665;350,542;7,456;1,239;57,879
2024-06-05 07:00:00;10,022;352,51;7,35;1,24;62,405
2024-06-05 08:00:00;10,378;354,477;7,244;1,24;66,932
2024-06-05 09:00:00;10,735;356,444;7,137;1,24;71,458
2024-06-05 10:00:00;10,029;355,856;8,977;1,232;62,668
2024-06-05 11:00:00;9,322;355,267;10,817;1,223;53,879
2024-06-05 12:00:00;8,615;354,679;12,657;1,215;45,089
2024-06-05 13:00:00;8,375;352,271;13,528;1,21;42,532
2024-06-05 14:00:00;8,135;349,862;14,399;1,206;39,976
2024-06-05 15:00:00;7,895;347,454;15,27;1,201;37,419
2024-06-05 16:00:00;7,803;344,596;14,472;1,204;36,657
2024-06-05 17:00:00;7,711;341,738;13,673;1,207;35,895
2024-06-05 18:00:00;7,619;338,879;12,875;1,211;35,133
2024-06-05 19:00:00;8,389;343,553;12,231;1,213;43,461
2024-06-05 20:00:00;9,16;348,227;11,586;1,216;51,79
2024-06-05 21:00:00;9,931;352,901;10,942;1,219;60,119
2024-06-05 22:00:00;10,278;352,662;10,757;1,22;64,589
2024-06-05 23:00:00;10,625;352,423;10,573;1,221;69,059
2024-06-06 00:00:00;10,972;352,184;10,388;1,222;73,529
2024-06-06 01:00:00;10,927;351,719;10,182;1,222;72,972
2024-06-06 02:00:00;10,882;351,254;9,975;1,223;72,415
2024-06-06 03:00:00;10,837;350,789;9,769;1,224;71,858
2024-06-06 04:00:00;10,937;348,618;9,843;1,223;73,151
2024-06-06 05:00:00;11,037;346,447;9,917;1,222;74,444
2024-06-06 06:00:00;11,137;344,275;9,991;1,221;75,737
2024-06-06 07:00:00;10,842;344,555;10,025;1,221;71,874
2024-06-06 08:00:00;10,546;344,834;10,06;1,221;68,011
2024-06-06 09:00:00;10,25;345,114;10,095;1,221;64,148
