FechaHora;wspd;wdir;temp;pres;rhum
02/06/2024 00:00;2,6;329;5,4;1015;76
02/06/2024 01:00;3,6;316;4,5;1015,5;81
02/06/2024 02:00;3,6;324;4,5;1015,5;80
02/06/2024 03:00;3,6;327;3,8;1015,4;82
02/06/2024 04:00;4,1;322;3,9;1015,6;80
02/06/2024 05:00;4,1;317;3,9;1016;77
02/06/2024 06:00;4,1;305;3,7;1016,4;75
02/06/2024 07:00;3,6;298;3,8;1016,9;87
02/06/2024 08:00;4,1;289;4;1018,1;84
02/06/2024 09:00;4,1;275;4,8;1018,6;76
02/06/2024 10:00;4,6;272;6;1019,9;71
02/06/2024 11:00;5,7;257;7,7;1020,8;64
02/06/2024 12:00;6,2;246;8,6;1021,4;61
02/06/2024 13:00;7,7;227;9,6;1021,9;57
02/06/2024 14:00;7,7;223;9,5;1022,4;56
02/06/2024 15:00;7,7;223;9,9;1022,6;57
02/06/2024 16:00;7,2;221;9,9;1023,6;59
02/06/2024 17:00;6,2;215;9,6;1024,6;62
02/06/2024 18:00;5,7;211;8,5;1025,7;69
02/06/2024 19:00;5,7;210;7,6;1026,9;74
02/06/2024 20:00;5,1;215;7,3;1027,9;75
02/06/2024 21:00;5,1;222;6,7;1028,7;77
02/06/2024 22:00;4,6;223;5,9;1029,3;81
02/06/2024 23:00;4,6;224;5,1;1029,8;85
03/06/2024 00:00;4,6;228;4,3;1030,2;89
03/06/2024 01:00;4,1;234;3,5;1030,6;99
03/06/2024 02:00;3,6;251;3;1031,1;100
03/06/2024 03:00;3,1;261;1,9;1031,2;100
03/06/2024 04:00;3,1;267;1,5;1031,5;100
03/06/2024 05:00;3,1;283;0,9;1031,8;100
03/06/2024 06:00;2,6;291;0,3;1032,1;100
03/06/2024 07:00;2,1;292;0,4;1032,3;100
03/06/2024 08:00;2,1;307;0,6;1032,6;100
03/06/2024 09:00;2,1;320;1;1032,9;100
03/06/2024 10:00;2,1;317;3,4;1032,8;93
03/06/2024 11:00;2,1;314;5,7;1032,4;85
