FechaHora;aeros_disp;ws100_avg;dir100_avg;temp_avg
19/11/2024 00:00;32;9,088;98,911;12,759
19/11/2024 01:00;32;8,706;94,929;12,252
19/11/2024 02:00;32;8,324;90,948;11,744
19/11/2024 03:00;32;7,942;86,966;11,237
19/11/2024 04:00;32;7,239;83,295;10,97
19/11/2024 05:00;32;6,537;79,623;10,703
19/11/2024 06:00;32;5,834;75,951;10,436
19/11/2024 07:00;32;4,812;78,232;12,556
19/11/2024 08:00;32;3,791;80,513;14,675
19/11/2024 09:00;32;2,769;82,794;16,794
19/11/2024 10:00;32;2,379;68,074;18,467
19/11/2024 11:00;32;1,989;53,353;20,139
19/11/2024 12:00;32;1,598;38,633;21,812
19/11/2024 13:00;32;2,56;26,649;22,286
19/11/2024 14:00;32;3,522;14,664;22,76
19/11/2024 15:00;32;4,484;2,679;23,235
19/11/2024 16:00;32;4,764;5,957;22,756
19/11/2024 17:00;32;5,045;9,235;22,277
19/11/2024 18:00;32;5,326;12,513;21,798
19/11/2024 19:00;32;5,098;22,174;20,565
19/11/2024 20:00;32;4,869;31,834;19,332
19/11/2024 21:00;32;4,641;41,495;18,098
19/11/2024 22:00;32;5,364;43,358;17,382
19/11/2024 23:00;32;6,087;45,222;16,667
20/11/2024 00:00;32;6,809;47,086;15,951
20/11/2024 01:00;32;7,092;43,551;15,575
20/11/2024 02:00;32;7,375;40,016;15,199
20/11/2024 03:00;32;7,658;36,48;14,822
20/11/2024 04:00;32;7,749;30,559;14,661
20/11/2024 05:00;32;7,841;24,638;14,5
20/11/2024 06:00;32;7,932;18,717;14,34
20/11/2024 07:00;32;7,787;18,908;15,926
20/11/2024 08:00;32;7,643;19,1;17,513
20/11/2024 09:00;32;7,498;19,291;19,1
20/11/2024 10:00;32;7,44;13,218;20,599
20/11/2024 11:00;32;7,382;7,146;22,099
20/11/2024 12:00;32;7,324;1,073;23,598
20/11/2024 13:00;32;7,317;2,343;24,164
20/11/2024 14:00;32;7,31;3,614;24,73
20/11/2024 15:00;32;7,304;4,885;25,296
20/11/2024 16:00;32;6,631;4,076;24,903
20/11/2024 17:00;32;5,959;3,267;24,509
20/11/2024 18:00;32;5,287;2,459;24,116
20/11/2024 19:00;32;5,545;8,137;22,982
20/11/2024 20:00;32;5,803;13,815;21,849
20/11/2024 21:00;32;6,06;19,493;20,715
20/11/2024 22:00;32;6,745;15,339;19,868
20/11/2024 23:00;32;7,429;11,186;19,021
21/11/2024 00:00;32;8,114;7,033;18,174
21/11/2024 01:00;32;8,637;8,994;18,059
21/11/2024 02:00;32;9,16;10,956;17,944
21/11/2024 03:00;32;9,684;12,918;17,828
21/11/2024 04:00;32;9,73;9,665;17,754
21/11/2024 05:00;32;9,775;6,412;17,68
21/11/2024 06:00;32;9,821;3,16;17,606
21/11/2024 07:00;32;9,304;3,005;18,719
21/11/2024 08:00;32;8,786;2,851;19,833
21/11/2024 09:00;32;8,269;2,697;20,946
21/11/2024 10:00;32;7,544;117,225;22,439
21/11/2024 11:00;32;6,819;231,753;23,931
21/11/2024 12:00;32;6,093;346,281;25,423
21/11/2024 13:00;32;5,885;350,219;26,012
21/11/2024 14:00;32;5,676;354,157;26,6
21/11/2024 15:00;32;5,467;358,095;27,188
21/11/2024 16:00;32;5,538;245,166;26,287
21/11/2024 17:00;32;5,609;132,238;25,386
21/11/2024 18:00;32;5,679;19,309;24,485
21/11/2024 19:00;32;5,361;17,591;23,045
21/11/2024 20:00;32;5,043;15,873;21,605
21/11/2024 21:00;32;4,724;14,154;20,165
21/11/2024 22:00;32;6,272;13,057;19,977
21/11/2024 23:00;32;7,82;11,96;19,789
22/11/2024 00:00;32;9,368;10,863;19,601
22/11/2024 01:00;32;9,758;9,527;19,46
22/11/2024 02:00;32;10,149;8,191;19,319
22/11/2024 03:00;32;10,54;6,854;19,178
22/11/2024 04:00;32;10,668;6,598;18,709
22/11/2024 05:00;32;10,796;6,342;18,24
22/11/2024 06:00;32;10,925;6,086;17,771
22/11/2024 07:00;32;10,35;7,012;19,068
22/11/2024 08:00;32;9,776;7,939;20,365
22/11/2024 09:00;32;9,202;8,865;21,663
22/11/2024 10:00;32;9,262;8,973;23,287
22/11/2024 11:00;32;9,322;9,08;24,911
22/11/2024 12:00;32;9,382;9,188;26,535
22/11/2024 13:00;32;9,491;11,839;27,255
22/11/2024 14:00;32;9,601;14,491;27,976
22/11/2024 15:00;32;9,711;17,143;28,696
22/11/2024 16:00;32;10,049;14,575;28,358
22/11/2024 17:00;32;10,387;12,006;28,019
22/11/2024 18:00;32;10,725;9,437;27,681
22/11/2024 19:00;32;10,559;9,573;26,625
22/11/2024 20:00;32;10,393;9,708;25,569
22/11/2024 21:00;32;10,227;9,843;24,513
22/11/2024 22:00;32;10,724;8,686;24,003
22/11/2024 23:00;32;11,222;7,529;23,492
23/11/2024 00:00;32;11,719;6,372;22,981
23/11/2024 01:00;32;11,421;5,582;22,443
23/11/2024 02:00;32;11,122;4,791;21,906
23/11/2024 03:00;32;10,824;4,001;21,369
23/11/2024 04:00;32;10,597;3,191;20,939
23/11/2024 05:00;32;10,37;2,382;20,51
23/11/2024 06:00;32;10,143;1,573;20,08
23/11/2024 07:00;32;9,707;120,736;20,992
23/11/2024 08:00;32;9,27;239,899;21,903
23/11/2024 09:00;32;8,834;359,062;22,815
23/11/2024 10:00;32;8,449;355,231;24,072
23/11/2024 11:00;32;8,064;351,4;25,329
23/11/2024 12:00;32;7,68;347,569;26,587
23/11/2024 13:00;32;7,281;345,521;27,098
23/11/2024 14:00;32;6,882;343,473;27,61
23/11/2024 15:00;32;6,483;341,424;28,122
23/11/2024 16:00;32;6,388;343,425;28,336
23/11/2024 17:00;32;6,293;345,425;28,55
23/11/2024 18:00;32;6,198;347,425;28,764
23/11/2024 19:00;32;5,104;277,574;26,065
23/11/2024 20:00;32;4,009;207,723;23,366
23/11/2024 21:00;32;2,915;137,872;20,667
23/11/2024 22:00;32;3,473;130,076;20,289
23/11/2024 23:00;32;4,03;122,281;19,91
24/11/2024 00:00;32;4,588;114,485;19,532
24/11/2024 01:00;32;6,033;194,467;19,796
24/11/2024 02:00;32;7,479;274,45;20,061
24/11/2024 03:00;32;8,924;354,432;20,325
24/11/2024 04:00;32;8,94;354,315;20,002
24/11/2024 05:00;32;8,955;354,198;19,678
24/11/2024 06:00;32;8,97;354,081;19,355
24/11/2024 07:00;32;8,111;351,963;20,681
24/11/2024 08:00;32;7,251;349,846;22,008
24/11/2024 09:00;32;6,391;347,728;23,334
24/11/2024 10:00;32;6,136;340,877;23,354
24/11/2024 11:00;32;5,881;334,025;23,375
24/11/2024 12:00;32;5,626;327,174;23,396
24/11/2024 13:00;32;5,211;323,736;23,915
24/11/2024 14:00;32;4,795;320,297;24,435
24/11/2024 15:00;32;4,38;316,859;24,954
24/11/2024 16:00;32;3,96;312,71;25,544
24/11/2024 17:00;32;3,54;308,561;26,133
24/11/2024 18:00;32;3,12;304,411;26,723
24/11/2024 19:00;32;3,192;301,791;25,212
24/11/2024 20:00;32;3,265;299,17;23,701
24/11/2024 21:00;32;3,337;296,549;22,19
24/11/2024 22:00;32;4,639;288,706;21,415
24/11/2024 23:00;32;5,94;280,863;20,639
25/11/2024 00:00;32;7,242;273,021;19,864
25/11/2024 01:00;32;8,544;265,178;19,089
25/11/2024 02:00;32;9,846;257,335;18,314
25/11/2024 03:00;32;11,147;249,492;17,539
25/11/2024 04:00;32;10,253;246,465;17,757
25/11/2024 05:00;32;9,36;243,438;17,974
25/11/2024 06:00;32;8,466;240,41;18,192
25/11/2024 07:00;32;7,572;237,383;18,41
25/11/2024 08:00;32;6,678;234,356;18,627
25/11/2024 09:00;32;5,784;231,329;18,845
25/11/2024 10:00;32;5,381;232,151;19,704
25/11/2024 11:00;32;4,977;232,973;20,564
25/11/2024 12:00;32;4,573;233,795;21,423
25/11/2024 13:00;32;4,17;234,617;22,282
25/11/2024 14:00;32;3,766;235,439;23,142
25/11/2024 15:00;32;3,362;236,261;24,001
25/11/2024 16:00;32;3,221;237,07;23,158
25/11/2024 17:00;32;3,081;237,88;22,315
25/11/2024 18:00;32;2,94;238,689;21,473
25/11/2024 19:00;32;2,799;239,499;20,63
25/11/2024 20:00;32;2,658;240,308;19,787
25/11/2024 21:00;32;2,517;241,118;18,945
25/11/2024 22:00;32;3,52;203,758;18,373
25/11/2024 23:00;32;4,524;166,399;17,802
26/11/2024 00:00;32;5,527;129,039;17,23
26/11/2024 01:00;32;6,53;91,68;16,658
26/11/2024 02:00;32;7,533;54,32;16,087
26/11/2024 03:00;32;8,537;16,961;15,515
26/11/2024 04:00;32;8,03;55,67;16,313
26/11/2024 05:00;32;7,523;94,38;17,111
26/11/2024 06:00;32;7,016;133,089;17,909
26/11/2024 07:00;32;6,509;171,799;18,707
26/11/2024 08:00;32;6,002;210,508;19,504
26/11/2024 09:00;32;5,495;249,218;20,302
26/11/2024 10:00;32;5,537;245,16;20,817
26/11/2024 11:00;32;5,579;241,102;21,331
26/11/2024 12:00;32;5,621;237,045;21,846
26/11/2024 13:00;32;5,663;232,987;22,361
26/11/2024 14:00;32;5,705;228,93;22,875
26/11/2024 15:00;32;5,747;224,872;23,39
26/11/2024 16:00;32;5,211;236,399;22,352
26/11/2024 17:00;32;4,675;247,926;21,314
26/11/2024 18:00;32;4,139;259,453;20,276
26/11/2024 19:00;32;3,603;270,98;19,238
26/11/2024 20:00;32;3,066;282,507;18,2
26/11/2024 21:00;32;2,53;294,034;17,162
26/11/2024 22:00;32;3,781;284,665;17,039
26/11/2024 23:00;32;5,032;275,297;16,916
27/11/2024 00:00;32;6,283;265,928;16,792
27/11/2024 01:00;32;7,534;256,56;16,669
27/11/2024 02:00;32;8,785;247,191;16,546
27/11/2024 03:00;32;10,036;237,823;16,423
27/11/2024 04:00;32;9,581;233,374;16,409
27/11/2024 05:00;32;9,126;228,924;16,395
27/11/2024 06:00;32;8,671;224,475;16,381
27/11/2024 07:00;32;8,216;220,026;16,367
27/11/2024 08:00;32;7,761;215,577;16,353
27/11/2024 09:00;32;7,306;211,128;16,34
