FechaHora;FCGen;FCGenP10;FCGenP90
2024-06-02 00:00:00.000;9225;0;17491
2024-06-02 01:00:00.000;19647;3398;41061
2024-06-02 02:00:00.000;35207;17591;65018
2024-06-02 03:00:00.000;56056;39222;82579
2024-06-02 04:00:00.000;64525;45298;97086
2024-06-02 05:00:00.000;71182;51928;100800
2024-06-02 06:00:00.000;75856;61477;100800
2024-06-02 07:00:00.000;79954;65695;100800
2024-06-02 08:00:00.000;82311;67327;100800
2024-06-02 09:00:00.000;82875;70187;100800
2024-06-02 10:00:00.000;82779;71919;100800
2024-06-02 11:00:00.000;83438;70971;100800
2024-06-02 12:00:00.000;85124;65535;100800
2024-06-02 13:00:00.000;87067;73500;100800
2024-06-02 14:00:00.000;87071;65027;100800
2024-06-02 15:00:00.000;84740;63771;100800
2024-06-02 16:00:00.000;82803;58075;100800
2024-06-02 17:00:00.000;80593;60460;100800
2024-06-02 18:00:00.000;78691;62296;100800
2024-06-02 19:00:00.000;76193;56996;100800
2024-06-02 20:00:00.000;73819;50833;100800
2024-06-02 21:00:00.000;72198;52127;100800
2024-06-02 22:00:00.000;70542;48224;100800
2024-06-02 23:00:00.000;66248;52755;100532
2024-06-03 00:00:00.000;59610;34812;89051
2024-06-03 01:00:00.000;51228;32889;82434
2024-06-03 02:00:00.000;42398;27091;71629
2024-06-03 03:00:00.000;33202;15843;67386
2024-06-03 04:00:00.000;24143;4144;60588
2024-06-03 05:00:00.000;16774;0;57058
2024-06-03 06:00:00.000;11094;0;44625
2024-06-03 07:00:00.000;7483;0;39968
2024-06-03 08:00:00.000;5414;0;47793
2024-06-03 09:00:00.000;4689;0;45523
2024-06-03 10:00:00.000;5386;0;46011
2024-06-03 11:00:00.000;7469;0;42080
2024-06-03 12:00:00.000;10693;273;34058
2024-06-03 13:00:00.000;15458;617;42333
2024-06-03 14:00:00.000;21058;1454;45351
2024-06-03 15:00:00.000;27584;7081;52148
2024-06-03 16:00:00.000;35038;4657;58094
2024-06-03 17:00:00.000;43571;24555;67360
2024-06-03 18:00:00.000;52501;35554;82643
2024-06-03 19:00:00.000;61792;51381;90946
2024-06-03 20:00:00.000;70278;51481;98181
2024-06-03 21:00:00.000;77969;56522;100800
2024-06-03 22:00:00.000;84463;63885;100800
2024-06-03 23:00:00.000;89647;70202;100800
2024-06-04 00:00:00.000;93325;66019;100800
2024-06-04 01:00:00.000;95931;79554;100800
2024-06-04 02:00:00.000;97408;74659;102278
2024-06-04 03:00:00.000;98472;80119;103396
2024-06-04 04:00:00.000;99205;77365;104165
2024-06-04 05:00:00.000;99803;79658;104793
2024-06-04 06:00:00.000;100250;86098;105262
2024-06-04 07:00:00.000;100553;79443;105581
2024-06-04 08:00:00.000;100661;81697;105694
2024-06-04 09:00:00.000;100623;80884;105654
2024-06-04 10:00:00.000;100139;79736;105146
2024-06-04 11:00:00.000;99112;90005;104067
2024-06-04 12:00:00.000;96961;80329;101809
2024-06-04 13:00:00.000;93887;73917;100800
2024-06-04 14:00:00.000;89722;70233;100800
2024-06-04 15:00:00.000;84382;62223;100800
2024-06-04 16:00:00.000;81284;55060;100800
2024-06-04 17:00:00.000;80113;51840;100800
2024-06-04 18:00:00.000;80045;55058;100800
2024-06-04 19:00:00.000;80892;57644;100800
2024-06-04 20:00:00.000;82467;65803;100800
2024-06-04 21:00:00.000;84772;63120;100800
2024-06-04 22:00:00.000;88603;63839;100800
2024-06-04 23:00:00.000;90435;73055;100800
2024-06-05 00:00:00.000;90770;65907;100800
2024-06-05 01:00:00.000;90433;71465;100800
2024-06-05 02:00:00.000;90200;75471;100800
2024-06-05 03:00:00.000;90115;70560;100800
2024-06-05 04:00:00.000;90333;64457;100800
2024-06-05 05:00:00.000;90171;66034;100800
2024-06-05 06:00:00.000;89697;70938;100800
2024-06-05 07:00:00.000;87983;57535;100800
2024-06-05 08:00:00.000;84695;58849;100800
2024-06-05 09:00:00.000;79760;56573;100800
2024-06-05 10:00:00.000;74391;58821;100800
2024-06-05 11:00:00.000;68655;52659;100800
2024-06-05 12:00:00.000;62511;44030;100800
2024-06-05 13:00:00.000;55823;27648;90287
2024-06-05 14:00:00.000;49844;17915;82639
2024-06-05 15:00:00.000;45238;5929;74989
2024-06-05 16:00:00.000;44912;7952;74239
2024-06-05 17:00:00.000;48047;11897;80591
2024-06-05 18:00:00.000;53777;23359;94783
2024-06-05 19:00:00.000;60285;35342;100800
2024-06-05 20:00:00.000;67723;40494;100800
2024-06-05 21:00:00.000;75829;53665;100800
2024-06-05 22:00:00.000;84110;62982;100800
2024-06-05 23:00:00.000;89776;61837;100800
2024-06-06 00:00:00.000;92340;70489;100800
2024-06-06 01:00:00.000;92811;73322;100800
2024-06-06 02:00:00.000;93068;72005;100800
2024-06-06 03:00:00.000;93116;64837;100800
2024-06-06 04:00:00.000;93061;63681;100800
2024-06-06 05:00:00.000;93191;69460;100800
2024-06-06 06:00:00.000;93365;64448;100800
2024-06-06 07:00:00.000;93004;61466;100800
2024-06-06 08:00:00.000;91014;58956;100800
2024-06-06 09:00:00.000;86873;59233;100800
2024-06-06 10:00:00.000;81794;59328;100800
2024-06-06 11:00:00.000;75847;49756;100800
2024-06-06 12:00:00.000;68995;35635;100800
2024-06-06 13:00:00.000;61696;20733;96859
2024-06-06 14:00:00.000;54778;7491;91881
2024-06-06 15:00:00.000;49312;0;87993
2024-06-06 16:00:00.000;46763;1799;91138
2024-06-06 17:00:00.000;46229;10246;90266
2024-06-06 18:00:00.000;47266;15993;93764
2024-06-06 19:00:00.000;49219;22849;100800
2024-06-06 20:00:00.000;51731;20964;100800
2024-06-06 21:00:00.000;54471;26104;100800
2024-06-06 22:00:00.000;57262;31844;100800
2024-06-06 23:00:00.000;59147;37553;100800
2024-06-07 00:00:00.000;59858;34257;100800
2024-06-07 01:00:00.000;58169;36967;100800
2024-06-07 02:00:00.000;55114;36721;100800
2024-06-07 03:00:00.000;50802;32948;100800
2024-06-07 04:00:00.000;46422;23919;100800
2024-06-07 05:00:00.000;41832;19858;97737
2024-06-07 06:00:00.000;37175;18864;91732
2024-06-07 07:00:00.000;31671;6587;80943
2024-06-07 08:00:00.000;27136;6296;85599
2024-06-07 09:00:00.000;23358;7041;83344
2024-06-07 10:00:00.000;20484;0;72339
2024-06-07 11:00:00.000;17416;0;74886
2024-06-07 12:00:00.000;14134;0;63138
2024-06-07 13:00:00.000;11564;0;59661
2024-06-07 14:00:00.000;10586;0;53790
2024-06-07 15:00:00.000;11010;0;58890
2024-06-07 16:00:00.000;13240;0;63674
2024-06-07 17:00:00.000;17661;0;69604
2024-06-07 18:00:00.000;24914;0;77694
2024-06-07 19:00:00.000;32441;7508;86835
2024-06-07 20:00:00.000;39336;15551;99457
2024-06-07 21:00:00.000;45366;19726;100800
2024-06-07 22:00:00.000;50446;26699;100800
2024-06-07 23:00:00.000;53857;31118;100800
2024-06-08 00:00:00.000;54868;22641;100800
2024-06-08 01:00:00.000;52485;23628;100800
2024-06-08 02:00:00.000;49474;25742;100800
2024-06-08 03:00:00.000;45664;17872;100800
2024-06-08 04:00:00.000;41256;16249;97668
2024-06-08 05:00:00.000;36378;9840;93162
2024-06-08 06:00:00.000;31286;7834;82268
2024-06-08 07:00:00.000;26711;0;80037
2024-06-08 08:00:00.000;23035;0;73869
2024-06-08 09:00:00.000;20249;0;72190
2024-06-08 10:00:00.000;18588;0;70129
2024-06-08 11:00:00.000;17749;0;74305
2024-06-08 12:00:00.000;17322;0;67604
2024-06-08 13:00:00.000;17529;0;58956
2024-06-08 14:00:00.000;17703;0;57144
2024-06-08 15:00:00.000;17682;0;57965
2024-06-08 16:00:00.000;17737;0;61235
2024-06-08 17:00:00.000;17999;0;65122
2024-06-08 18:00:00.000;18538;0;66784
2024-06-08 19:00:00.000;19662;0;68851
2024-06-08 20:00:00.000;21393;0;71171
2024-06-08 21:00:00.000;23725;0;78967
2024-06-08 22:00:00.000;26561;0;85722
2024-06-08 23:00:00.000;29650;1498;90443
2024-06-09 00:00:00.000;32562;2010;93195
2024-06-09 01:00:00.000;36527;5334;100069
2024-06-09 02:00:00.000;41404;9502;100800
2024-06-09 03:00:00.000;47039;9224;100800
2024-06-09 04:00:00.000;53379;14706;100800
2024-06-09 05:00:00.000;60047;29217;100800
2024-06-09 06:00:00.000;66765;35813;100800
2024-06-09 07:00:00.000;72602;39097;100800
2024-06-09 08:00:00.000;76594;45064;100800
2024-06-09 09:00:00.000;79029;48592;100800
2024-06-09 10:00:00.000;79656;45473;100800
2024-06-09 11:00:00.000;78491;41308;100800
2024-06-09 12:00:00.000;76083;33231;100800
2024-06-09 13:00:00.000;72134;26502;100800
2024-06-09 14:00:00.000;67832;13719;100800
