Date;Wind_Speed_1H;Temperature_1H;Number_Available_WTGs;Presion_Atmosferica;Exported_Energy_1H_kWh
01/01/2023 00:00;5,071;14,693;14;907,802;4569,136
01/01/2023 01:00;7,319;14,822;14;909,389;15353,542
01/01/2023 02:00;6,686;15,039;14;910,346;14183,93
01/01/2023 03:00;4,528;15,352;14,5;910,392;7291,13
01/01/2023 04:00;5,758;15,975;12;910,012;4759,927
01/01/2023 05:00;4,689;17;14;909,726;3844,424
01/01/2023 06:00;3,138;17,74;14,833;909,548;20,878
01/01/2023 07:00;4,301;17,879;12;909,183;2238,448
01/01/2023 08:00;4,127;17,955;13,5;909,278;389,337
01/01/2023 09:00;6,114;18,037;14;909,438;7159,965
01/01/2023 10:00;8,667;18,066;15;909,251;25750,639
01/01/2023 11:00;12,003;18,328;14,833;910,693;46237,517
01/01/2023 12:00;13,558;17,782;14,833;911,371;47524,125
01/01/2023 13:00;12,126;17,441;15;911,863;47408,508
01/01/2023 14:00;11,006;17,745;14,833;912,201;46257,56
01/01/2023 15:00;10,234;17,894;15;912,354;42826,782
01/01/2023 16:00;9,411;17,103;15;912,702;40637,487
01/01/2023 17:00;6,337;16,967;15;912,991;17634,265
01/01/2023 18:00;5,386;17,187;15;913,249;6309,237
01/01/2023 19:00;4,902;17,944;15;913,311;5072,178
01/01/2023 20:00;3,811;17,76;15;913,292;2133,188
01/01/2023 21:00;3,04;17,661;15;912,79;0
01/01/2023 22:00;2,249;17,79;15;912,701;0
01/01/2023 23:00;2,029;18,701;15;912,537;0
02/01/2023 00:00;3,68;18,678;14,833;912,495;171,733
02/01/2023 01:00;5,17;18,936;15;912,856;4759,878
02/01/2023 02:00;5,362;18,952;15;913,097;10199,666
02/01/2023 03:00;5,134;19,68;15;913,399;7347,163
02/01/2023 04:00;4,49;19,817;15;913,265;4011,263
02/01/2023 05:00;3,849;20,691;15;912,843;1288,296
02/01/2023 06:00;3,772;21,605;15;912,374;1153,049
02/01/2023 07:00;3,271;21,829;15;912,043;68,851
02/01/2023 08:00;3,585;22,538;15;912,021;180,301
02/01/2023 09:00;2,432;23,309;15;912,208;0,366
02/01/2023 10:00;2,316;24,287;15;913,228;0
02/01/2023 11:00;2,543;25,037;15;914,15;0
02/01/2023 12:00;2,492;25,675;15;914,751;0
02/01/2023 13:00;2,935;25,745;15;914,56;0
02/01/2023 14:00;2,514;24,334;15;913,878;0
02/01/2023 15:00;2,514;24,003;15;913,44;0
02/01/2023 16:00;2,927;23,027;15;912,771;0,441
02/01/2023 17:00;3,214;22,374;14,333;911,911;2,5
02/01/2023 18:00;5,531;21,805;14,333;911,283;4985,089
02/01/2023 19:00;6,349;21,378;15;910,878;8724,265
02/01/2023 20:00;7,824;16,863;15;910,477;23993,22
02/01/2023 21:00;10,687;19,012;15;909,783;38018,376
02/01/2023 22:00;10,694;19,748;15;909,266;45510,651
02/01/2023 23:00;9,607;17,921;11,5;908,88;31574,331
03/01/2023 00:00;9,52;17,741;13,667;908,404;31748,727
03/01/2023 01:00;5,944;18,627;14,167;908,745;20477,321
03/01/2023 02:00;4,46;18,83;14;910,136;1644,342
03/01/2023 03:00;4,14;18,764;14,167;911,416;2219,334
03/01/2023 04:00;4,719;15,493;12,667;910;729,463
03/01/2023 05:00;6,023;17,105;13,833;908,996;13624,157
03/01/2023 06:00;4,035;17,851;14,167;909,232;1028,627
03/01/2023 07:00;4,241;18,49;14,5;909,51;886,269
03/01/2023 08:00;4,642;19,737;15;910,589;4649,481
03/01/2023 09:00;5,273;20,441;15;911,024;4790,155
03/01/2023 10:00;5,567;21,097;15;911,554;8096,783
03/01/2023 11:00;4,998;21,743;15;912,624;4343,269
03/01/2023 12:00;5,148;22,321;15;913,409;5384,308
03/01/2023 13:00;4,368;22,689;15;913,801;2165,465
03/01/2023 14:00;4,225;22,953;14,167;913,832;1389,679
03/01/2023 15:00;4,118;22,757;14,333;913,666;621,158
03/01/2023 16:00;3,605;22,048;15;913,348;147,729
03/01/2023 17:00;3,889;21,859;15;913,076;98,476
03/01/2023 18:00;4,242;21,848;14,667;912,91;1206,838
03/01/2023 19:00;4,439;21,913;15;912,655;2040,211
03/01/2023 20:00;2,937;22,044;15;912,465;641,205
03/01/2023 21:00;2,697;21,636;15;912,329;0
03/01/2023 22:00;2,745;21,257;15;912,538;0
03/01/2023 23:00;1,771;21,367;15;912,734;0
04/01/2023 00:00;1,918;21,39;15;912,721;0
04/01/2023 01:00;2,691;21,603;15;913,146;0
04/01/2023 02:00;2,988;22,009;15;913,404;0
04/01/2023 03:00;2,908;22,349;15;913,68;0
04/01/2023 04:00;3,039;22,741;15;913,888;0
04/01/2023 05:00;3,153;23,431;15;913,688;0
04/01/2023 06:00;3,165;23,774;15;913,197;0
04/01/2023 07:00;2,451;24,372;15;913,038;0
04/01/2023 08:00;1,841;25,118;15;913,288;0
04/01/2023 09:00;1,651;25,453;15;913,782;0
04/01/2023 10:00;2,329;26,212;15;914,89;0
04/01/2023 11:00;2,243;26,806;15;915,935;0
04/01/2023 12:00;2,61;27,122;15;916,788;0
04/01/2023 13:00;3,033;27,066;15;916,803;0
04/01/2023 14:00;2,621;26,268;15;916,306;12,137
04/01/2023 15:00;2,531;25,535;15;915,7;0
04/01/2023 16:00;2,679;24,171;14,667;915,291;3,465
04/01/2023 17:00;3,955;23,093;13,5;914,826;137,364
04/01/2023 18:00;6,389;22,519;15;914,531;9596,281
04/01/2023 19:00;7,365;22,521;15;914,061;18726,313
04/01/2023 20:00;8,125;22,141;15;913,673;23945,491
04/01/2023 21:00;10,187;22,14;15;913,294;39315,506
04/01/2023 22:00;11,102;21,46;15;912,926;45900,861
04/01/2023 23:00;11,789;23,194;15;912,59;46610,907
05/01/2023 00:00;10,594;24,789;14,333;912,484;44260,848
05/01/2023 01:00;9,012;24,818;14;912,939;36463,781
05/01/2023 02:00;6,9;24,978;14,333;913,271;18740,725
05/01/2023 03:00;4,269;24,787;15;913,175;4486,346
05/01/2023 04:00;2,582;24,09;14,167;912,639;10,309
05/01/2023 05:00;5,256;24,496;15;912,315;4233,758
05/01/2023 06:00;5,433;25,32;15;911,885;7776,746
05/01/2023 07:00;6,052;25,898;15;911,656;8806,537
05/01/2023 08:00;7,695;26,476;14,833;911,883;20698,312
05/01/2023 09:00;8,677;27,317;15;912,228;27714,232
05/01/2023 10:00;10,471;28,06;15;913,226;42274,616
05/01/2023 11:00;10,45;28,674;15;914,196;44503,504
05/01/2023 12:00;8,811;28,307;15;914,664;35936,585
05/01/2023 13:00;6,774;28,066;15;914,839;18422,274
05/01/2023 14:00;5,183;27,856;15;914,783;6032,845
05/01/2023 15:00;5,037;27,118;14;914,655;3218,979
05/01/2023 16:00;7,772;25,619;14,667;914,481;18112,458
05/01/2023 17:00;9,214;24,815;15;914,334;32191,288
05/01/2023 18:00;9,923;24,609;15;914,038;39744,733
05/01/2023 19:00;10,434;24,737;15;913,553;42986,864
05/01/2023 20:00;10,774;24,139;15;913,079;44657,169
05/01/2023 21:00;12,126;22,94;15;912,734;46221,633
05/01/2023 22:00;12,849;22,517;15;912,596;46780,772
05/01/2023 23:00;13,207;23,916;14,833;912,588;46469,389
06/01/2023 00:00;12,788;24,502;15;912,868;46629,769
06/01/2023 01:00;11,378;25,658;15;913,408;46656,673
06/01/2023 02:00;8,503;25,771;14;913,539;35367,783
06/01/2023 03:00;4,617;26,68;14,667;913,312;5725,778
06/01/2023 04:00;4,3;25,139;14,833;912,989;1935,955
06/01/2023 05:00;4,619;23,977;14,833;912,415;2396,02
06/01/2023 06:00;5,87;24,883;15;911,898;10389,433
06/01/2023 07:00;6,313;25,897;15;911,444;13149,343
06/01/2023 08:00;8,785;27,577;15;911,503;25995,1
06/01/2023 09:00;10,725;28,643;14,5;912,034;43733,076
06/01/2023 10:00;9,167;29,12;14,167;913,074;37334,876
06/01/2023 11:00;7,204;28,979;15;914,184;21587,222
06/01/2023 12:00;5,535;29,022;15;914,697;8777,295
06/01/2023 13:00;5,256;28,867;15;914,988;4306,253
06/01/2023 14:00;6,535;28,498;14;915,251;7787,803
