FechaHora;TotPwrWTGs;Nro_Available_WTGs;VelViento;DirVientoPond;Temp;HumedadRel;PresionAtm;ENERGIA_SMEC;ENERGIA_PRON_CAMMESA;ERROR_PRONOSTICO
30/01/2019 13:00;0,95;9;4,43;154,16;23,51;66,46;914,1;1,64;NULL;NULL
30/01/2019 14:00;1,56;12,67;4,11;128,52;23,96;65,92;914,17;1,42;NULL;NULL
30/01/2019 15:00;4,34;13;5,65;109,57;24,16;66,63;914,03;4,23;NULL;NULL
30/01/2019 16:00;10,54;13,33;6,49;89,3;24,49;64,94;913,62;10,33;NULL;NULL
30/01/2019 17:00;12,73;14;6,58;83,76;24,6;66,79;913,12;12,51;NULL;NULL
30/01/2019 18:00;14,75;14;6,65;84,79;24,78;68,37;912,5;14,29;NULL;NULL
30/01/2019 19:00;15,73;14;6,82;86,97;24,66;69,79;911,91;15,51;NULL;NULL
30/01/2019 20:00;22,4;14;7,64;86,33;24,1;73,12;911,43;22,11;NULL;NULL
30/01/2019 21:00;30,99;14;8,06;85,94;22,55;79,87;911,12;30,48;NULL;NULL
30/01/2019 22:00;38,2;14;9,15;62,57;22,31;82,47;911,14;37,56;NULL;NULL
30/01/2019 23:00;42,26;14;11,02;55,85;22,31;82,5;911,6;41,41;NULL;NULL
31/01/2019 00:00;38,8;14;9,16;59,43;22,22;82,48;912,15;38,03;NULL;NULL
31/01/2019 01:00;37,93;14;9,79;47,74;22,22;81,57;912,13;37,1;NULL;NULL
31/01/2019 02:00;21,87;14;8,64;43,65;22,84;77,56;912,05;21,37;NULL;NULL
31/01/2019 03:00;6,67;12,83;5,65;32,56;23,56;72,9;912,04;6,35;NULL;NULL
31/01/2019 04:00;1,46;11,17;4,17;254,03;20,52;81,92;912,25;1,35;NULL;NULL
31/01/2019 05:00;0;2,5;2,62;234,69;19;82,27;912,07;0,05;NULL;NULL
31/01/2019 06:00;-0,17;0;1,54;219,79;18,57;82,2;911,97;0;NULL;NULL
31/01/2019 07:00;-0,12;0,67;1,23;292,48;18,51;82,2;912,04;0;NULL;NULL
31/01/2019 08:00;2,13;12,5;3,98;193,45;17,65;82,17;912,4;1,98;NULL;NULL
31/01/2019 09:00;0,28;5,17;3,3;143,39;17,29;82,13;913,17;0,28;NULL;NULL
31/01/2019 10:00;1,51;7,5;3,71;65,51;18,73;82,4;913,78;1,43;NULL;NULL
31/01/2019 11:00;10,27;13;6,66;46,64;21,55;81,34;913,78;10,12;NULL;NULL
31/01/2019 12:00;6,13;12;5,85;42,91;24,29;71,55;913,84;5,86;NULL;NULL
