FechaHora;TotPwrWTGs;Nro_Available_WTGs;VelViento;DirVientoPond;Temp;HumedadRel;PresionAtm;ENERGIA_SMEC;ENERGIA_PRON_CAMMESA;ERROR_PRONOSTICO
2019-01-01 01:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;94,82;NULL;NULL
2019-01-01 02:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;94,83;NULL;NULL
2019-01-01 03:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;94,81;NULL;NULL
2019-01-01 04:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;94,8;NULL;NULL
2019-01-01 05:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;94,83;NULL;NULL
2019-01-01 06:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;54,37;NULL;NULL
2019-01-01 07:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17,38;NULL;NULL
2019-01-01 08:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10,89;NULL;NULL
2019-01-01 09:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1,68;NULL;NULL
2019-01-01 10:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8,73;NULL;NULL
2019-01-01 11:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15,89;NULL;NULL
2019-01-01 12:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6,28;NULL;NULL
2019-01-01 13:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;20,52;NULL;NULL
2019-01-01 14:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;73,98;NULL;NULL
2019-01-01 15:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;54,75;NULL;NULL
2019-01-01 16:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;46,85;NULL;NULL
2019-01-01 17:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;33,29;NULL;NULL
2019-01-01 18:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;67,89;NULL;NULL
2019-01-01 19:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;87,34;NULL;NULL
2019-01-01 20:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;88,11;NULL;NULL
2019-01-01 21:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;90,07;NULL;NULL
2019-01-01 22:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;91,83;NULL;NULL
2019-01-01 23:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;86,56;NULL;NULL
2019-01-02 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;78,93;NULL;NULL
2019-01-02 01:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;75,84;NULL;NULL
2019-01-02 02:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;73,41;NULL;NULL
2019-01-02 03:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;66,89;NULL;NULL
2019-01-02 04:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45,28;NULL;NULL
2019-01-02 05:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;34,9;NULL;NULL
2019-01-02 06:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;27,2;NULL;NULL
2019-01-02 07:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6,5;NULL;NULL
2019-01-02 08:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4,4;NULL;NULL
2019-01-02 09:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7,99;NULL;NULL
2019-01-02 10:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16,16;NULL;NULL
2019-01-02 11:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11,3;NULL;NULL
2019-01-02 12:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;35,58;NULL;NULL
2019-01-02 13:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;46,67;NULL;NULL
2019-01-02 14:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;57,55;NULL;NULL
2019-01-02 15:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;58,31;NULL;NULL
2019-01-02 16:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;64,41;NULL;NULL
2019-01-02 17:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;68,88;NULL;NULL
2019-01-02 18:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;91,02;NULL;NULL
2019-01-02 19:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;94,49;NULL;NULL
2019-01-02 20:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;92,09;NULL;NULL
2019-01-02 21:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;64,18;NULL;NULL
2019-01-02 22:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;33,22;NULL;NULL
2019-01-02 23:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;26;NULL;NULL
2019-01-03 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;27,34;NULL;NULL
2019-01-03 01:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15,84;NULL;NULL
2019-01-03 02:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3,65;NULL;NULL
2019-01-03 03:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0,1;NULL;NULL
2019-01-03 04:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL
2019-01-03 05:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0,46;NULL;NULL
2019-01-03 06:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12,89;NULL;NULL
2019-01-03 07:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;32,05;NULL;NULL
2019-01-03 08:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;43,35;NULL;NULL
2019-01-03 09:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;18,41;NULL;NULL
2019-01-03 10:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;34,26;NULL;NULL
2019-01-03 11:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;62,47;NULL;NULL
2019-01-03 12:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;85,85;NULL;NULL
2019-01-03 13:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;92,62;NULL;NULL
2019-01-03 14:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;93,54;NULL;NULL
2019-01-03 15:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;92,92;NULL;NULL
2019-01-03 16:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;89,47;NULL;NULL
2019-01-03 17:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;78,42;NULL;NULL
2019-01-03 18:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;59,83;NULL;NULL
2019-01-03 19:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45,96;NULL;NULL
2019-01-03 20:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;77,31;NULL;NULL
2019-01-03 21:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;81,06;NULL;NULL
2019-01-03 22:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;53,25;NULL;NULL
2019-01-03 23:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;67,28;NULL;NULL
2019-01-04 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;67,36;NULL;NULL
2019-01-04 01:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;40,81;NULL;NULL
2019-01-04 02:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45,09;NULL;NULL
2019-01-04 03:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;48,99;NULL;NULL
2019-01-04 04:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;49,91;NULL;NULL
2019-01-04 05:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;40,09;NULL;NULL
2019-01-04 06:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;42,91;NULL;NULL
