Date;Active_Power_ 1H_kW;Ambient_Temperature_ 1H_m_s;Wind_Speed_1H_m_s;Exported_Energy_1H_kWh;Imported_Energy_1H_kWh;Reactive_Q1_1H_kVArh;Reactive_Q2_1H_kVArh;Reactive_Q3_1H_kVArh;Reactive_Q4_1H_kVArh
13/05/2022 07:00;8407,133;15,473;7,448;12056;0;0;111;525;0
13/05/2022 08:00;4398,54;13,814;5,988;3768;0;0;30;3749;0
13/05/2022 09:00;10638,646;12,576;8,143;10686;0;0;0;3669;0
13/05/2022 10:00;5051,291;12,748;6,583;5707;0;0;0;5275;0
13/05/2022 11:00;2951,561;12,937;5,576;3227;0;0;0;5067;0
13/05/2022 12:00;2369,663;13,638;5,11;1888;0;0;0;3068;0
13/05/2022 13:00;7100,736;13,001;7,123;6927;0;0;48;1153;0
13/05/2022 14:00;3390,958;12,124;5,759;3912;0;0;466;32;0
13/05/2022 15:00;2065,561;11,984;4,917;2088;0;0;164;504;0
13/05/2022 16:00;2212,983;11,231;4,934;2261;0;0;580;55;0
13/05/2022 17:00;1908,411;11,13;4,76;1915;0;0;587;0;0
13/05/2022 18:00;649,871;11,211;3,834;878;0;0;339;1031;0
13/05/2022 19:00;225,339;11,348;3,281;192;0;0;0;1647;93
13/05/2022 20:00;875,593;11,098;4;792;0;0;42;867;0
13/05/2022 21:00;1123,707;10,945;4,113;793;0;0;376;186;0
13/05/2022 22:00;2956,992;10,801;5,235;2358;0;0;2942;0;0
13/05/2022 23:00;5594,408;10,753;6,395;5169;0;0;2679;0;0
14/05/2022 00:00;4941,711;10,442;6,254;4886;0;0;1683;0;0
14/05/2022 01:00;6987,4;10,464;7,087;6814;0;0;2946;0;0
14/05/2022 02:00;7577,611;10,265;7,239;7415;0;0;4926;0;0
14/05/2022 03:00;8095,218;10,248;7,468;7503;0;0;5143;0;0
14/05/2022 04:00;7065,215;9,993;6,718;7144;0;0;4482;0;0
14/05/2022 05:00;10719,849;8,882;7,64;9846;0;0;5160;0;0
14/05/2022 06:00;12057,596;7,634;8,14;11972;0;0;4653;0;0
14/05/2022 07:00;14070,13;7,84;8,784;14107;0;0;3002;0;0
14/05/2022 08:00;17837,777;7,998;10,033;15077;0;0;493;22;0
14/05/2022 09:00;18876,131;8,33;10,159;19663;0;0;105;1875;0
14/05/2022 10:00;13008,943;8,524;8,449;14972;0;0;0;1572;0
14/05/2022 11:00;9271,007;7,742;7,431;9945;0;0;0;1779;0
14/05/2022 12:00;2527,017;7,306;4,934;2914;0;0;0;1770;0
14/05/2022 13:00;3640,045;6,914;5,573;3194;0;0;1616;90;0
14/05/2022 14:00;3684,963;5,602;5,5;4320;0;0;2898;0;0
14/05/2022 15:00;4870,837;5,313;6,157;4090;0;0;2199;0;0
14/05/2022 16:00;3111,453;5,063;5,472;3266;0;0;2287;0;0
14/05/2022 17:00;3866,335;4,675;5,878;3526;0;0;804;164;0
14/05/2022 18:00;6754,084;5,081;6,861;6272;0;0;1442;0;0
14/05/2022 19:00;5167,672;4,441;6,123;5947;0;0;12;487;0
14/05/2022 20:00;5125,865;4,181;6,186;4637;0;0;0;1227;0
14/05/2022 21:00;5815,698;3,858;6,362;4851;0;0;241;456;0
14/05/2022 22:00;9782,148;4,31;7,545;10096;0;0;3321;0;0
14/05/2022 23:00;7692,067;4,549;7,077;6957;0;0;3963;0;0
15/05/2022 00:00;8698,203;4,986;7,364;9858;0;0;6155;0;0
15/05/2022 01:00;6573,293;5,375;6,868;6624;0;0;6783;0;0
15/05/2022 02:00;2072,773;5,366;4,769;2946;0;0;5881;0;0
15/05/2022 03:00;327,697;5,786;3,442;309;0;17;5022;0;0
15/05/2022 04:00;436,749;5,778;3,558;314;0;99;4110;0;0
15/05/2022 05:00;642,417;5,886;3,715;777;0;1;3671;0;0
15/05/2022 06:00;250,393;5,69;3,357;181;9;564;1453;0;0
15/05/2022 07:00;2458,309;5,242;5,14;1814;0;9;5123;0;0
15/05/2022 08:00;2810,899;5,173;5,444;2583;0;0;6417;0;0
15/05/2022 09:00;2188,166;5,971;5,018;2563;0;0;5212;0;0
15/05/2022 10:00;1440,862;6,854;4,461;1508;0;0;3245;0;0
15/05/2022 11:00;1311,302;7,506;4,387;1300;0;0;2323;0;0
15/05/2022 12:00;1203,084;8,518;4,241;1116;0;0;1475;6;0
15/05/2022 13:00;2058,048;9,135;4,75;1926;0;0;2691;0;0
15/05/2022 14:00;3397,33;9,709;5,527;2933;0;0;3903;0;0
15/05/2022 15:00;2960,267;9,998;5,288;3069;0;0;4491;0;0
15/05/2022 16:00;4635,845;10,024;6,024;4042;0;0;4384;0;0
15/05/2022 17:00;4726,809;9,357;6,159;4985;0;0;3702;0;0
15/05/2022 18:00;3451,246;8,065;5,645;3706;0;0;1277;230;0
15/05/2022 19:00;2689,961;7,748;5,491;2558;0;0;0;2101;0
15/05/2022 20:00;5442,443;7,535;6,717;4227;0;0;0;1841;0
15/05/2022 21:00;6018,871;7,182;6,506;6940;0;0;0;1308;0
15/05/2022 22:00;4253,452;6,691;6,013;3884;0;0;0;2425;0
15/05/2022 23:00;8236,75;6,286;7,552;7039;0;0;594;1121;0
16/05/2022 00:00;10522,994;5,802;8,133;10778;0;0;3474;0;0
16/05/2022 01:00;7479,738;5,147;7,156;7900;0;0;3240;0;0
16/05/2022 02:00;5027,578;4,182;6,367;5357;0;0;4024;0;0
16/05/2022 03:00;6089,9;3,949;6,749;5613;0;0;4614;0;0
16/05/2022 04:00;5967,891;3,466;6,657;5883;0;0;4455;0;0
16/05/2022 05:00;6744,844;3,604;6,847;6573;0;0;5372;0;0
16/05/2022 06:00;8813,604;3,343;7,458;8104;0;0;2739;0;0
16/05/2022 07:00;12274,641;3,176;8,582;11565;0;0;264;951;0
16/05/2022 08:00;14915,826;4,001;9,144;14372;0;0;45;1125;0
16/05/2022 09:00;13425,574;4,728;8,723;13554;0;0;0;2872;0
16/05/2022 10:00;10861,777;4,992;8,11;11499;0;0;0;2214;0
16/05/2022 11:00;12100,817;5,888;8,216;11149;0;0;0;3660;0
16/05/2022 12:00;12303,3;6,83;8,23;12372;0;0;0;2127;0
16/05/2022 13:00;12162,465;7,66;8,206;12009;0;0;145;438;0
16/05/2022 14:00;9753,036;7,978;7,977;10421;0;0;209;104;0
16/05/2022 15:00;7490,85;8,459;7,402;8011;0;0;34;810;0
16/05/2022 16:00;6169,26;8,751;6,806;6327;0;0;0;1044;0
16/05/2022 17:00;5969,357;8,175;6,671;5897;0;0;0;639;0
16/05/2022 18:00;6683,431;7,366;6,993;6625;0;0;0;1941;0
16/05/2022 19:00;7948,531;6,685;7,404;6998;0;0;0;6829;0
16/05/2022 20:00;10283,034;6,753;7,896;9870;0;0;0;6497;0
16/05/2022 21:00;7882,302;5,989;7,265;9009;0;0;0;6793;0
16/05/2022 22:00;3293,948;3,801;5,734;3367;0;0;0;5804;0
16/05/2022 23:00;3786,145;3,481;6,23;3924;0;0;0;3202;0
17/05/2022 00:00;1818,04;3,172;5,003;2031;0;0;41;4241;0
17/05/2022 01:00;3112,779;2,796;5,832;2723;0;0;0;3187;0
17/05/2022 02:00;2469,66;2,284;5,423;2716;0;0;7;705;0
17/05/2022 03:00;1874,778;1,843;4,958;2037;0;0;609;72;0
17/05/2022 04:00;1669,563;1,184;4,841;1640;0;0;273;648;0
17/05/2022 05:00;2016,068;0,955;4,849;1971;0;0;0;1758;0
17/05/2022 06:00;4973,169;1,048;6,589;4072;0;0;0;2861;0
17/05/2022 07:00;6100,97;1,042;6,924;6209;0;0;0;4783;0
17/05/2022 08:00;3379,999;0,778;5,626;3894;0;0;0;5556;0
17/05/2022 09:00;3110,099;0,881;5,412;2971;0;0;0;5658;0
17/05/2022 10:00;2082,265;2,119;4,879;2387;0;0;0;6113;0
17/05/2022 11:00;1615,879;3,65;4,627;1519;0;0;0;7375;0
17/05/2022 12:00;1537,523;5,488;4,683;1407;0;0;0;6446;0
17/05/2022 13:00;2237,553;7,252;5,147;2076;0;0;0;3696;0
17/05/2022 14:00;1638,647;8,422;4,756;1796;0;0;0;2139;0
17/05/2022 15:00;1922,956;9,173;4,945;1822;0;0;0;2010;0
17/05/2022 16:00;1419,95;9,376;4,622;1430;0;0;0;2028;0
17/05/2022 17:00;783,699;8,277;4,04;970;0;0;0;3123;0
